P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
GJ 163 c,4.191425871296591,25.63058,GJ 163,0.1,0.4,0.382,3500.0,0.12601452,269.09231,256.84386,283.66492,0.019619483,2.0
GJ 163 d,4.191425871296591,603.95116,GJ 163,0.1,0.4,0.382,3500.0,1.1020793,93.086873,80.163857,118.62606,0.019619483,0.0
GJ 179 b,4.191425871296591,2288.0,GJ 179,0.3,0.36,0.38,3370.0,2.4631405,58.81917,53.621328,66.361578,0.016686892,0.0
GJ 273 b,4.191425871296591,18.6498,GJ 273,0.09,0.29,0.29,3382.0,0.091556505,265.80058,253.58979,280.35406,0.0098577785,1.0
GJ 273 c,4.191425871296591,4.7234,GJ 273,0.09,0.29,0.29,3382.0,0.036993948,419.61315,388.63931,461.42446,0.0098577785,0.0
GJ 3021 b,4.191425871296591,133.71,GJ 3021,0.1,0.9,0.9,5540.0,0.55397465,325.16469,269.22651,473.25545,0.6836168,0.0
GJ 3138 b,4.191425871296591,1.22003,GJ 3138,-0.3,0.68,0.5,3717.0,0.020055585,823.51608,756.63781,917.1049,0.04275618,0.0
GJ 3138 c,4.191425871296591,5.974,GJ 3138,-0.3,0.68,0.5,3717.0,0.05734485,484.87267,460.57008,514.3541,0.04275618,0.0
GJ 3138 d,4.191425871296591,257.8,GJ 3138,-0.3,0.68,0.5,3717.0,0.7337376,137.75525,120.69241,168.15604,0.04275618,0.0
GJ 317 b,4.191425871296591,692.0,GJ 317,0.36,0.42,1.5371422191458501,3510.0,1.1569575,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 317 c,4.191425871296591,5312.0,GJ 317,0.36,0.42,1.5371422191458501,3510.0,4.6725855,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
GJ 328 b,4.191425871296591,4100.0,GJ 328,0.0,0.69,1.5371422191458501,3900.0,4.808025,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
