P_NAME,P_RADIUS,P_PERIOD,S_NAME,S_METALLICITY,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,S_LUMINOSITY,P_HABITABLE
HD 192263 b,4.191425871296591,24.3556,HD 192263,0.03,0.66,0.74,4976.0,0.1501875,487.07938,475.41516,499.81107,0.30079705,0.0
HD 192310 b,4.191425871296591,74.72,HD 192310,-0.04,0.8,1.5371422191458501,5166.0,0.322704,364.63479,343.38373,391.34456,0.43151514,0.0
HD 192310 c,4.191425871296591,525.8,HD 192310,-0.04,0.8,1.5371422191458501,5166.0,1.240416,188.84007,165.44969,230.51461,0.43151514,0.0
HD 192699 b,4.191425871296591,340.94,HD 192699,0.014020760003518647,1.38,4.41,5041.0,1.0665738,452.3802,435.08369,472.35127,11.252075,0.0
HD 195019 b,4.191425871296591,18.20132,HD 195019,0.05,1.21,1.48,5751.0,0.140007,824.18472,820.09958,828.342,2.1467701,0.0
HD 196050 b,4.191425871296591,1378.0,HD 196050,0.21,1.31,1.42,5879.0,2.5763895,194.25458,175.74189,222.11735,2.1581378,0.0
HD 196067 b,4.191425871296591,3638.0,HD 196067,0.18,1.29,1.73,6017.0,6.113356,150.91061,120.84098,267.01079,3.5148023,0.0
HD 196885 b,4.191425871296591,1333.0,HD 196885,0.22,1.28,1.31,6254.0,2.643024,201.81552,168.4634,284.20699,2.3521377,0.0
HD 197037 b,4.191425871296591,1035.7,HD 197037,-0.2,1.11,1.5371422191458501,6150.0,2.120094,196.95033,178.85776,223.68683,1.5492157,0.0
HD 19994 b,4.191425871296591,466.2,HD 19994,0.27,1.36,1.5371422191458501,6188.0,1.3075898,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 20003 b,4.191425871296591,11.8482,HD 20003,0.04,0.88,1.5371422191458501,5494.0,0.10371152,756.92074,654.52677,954.12852,0.7644089,0.0
HD 20003 c,4.191425871296591,33.9239,HD 20003,0.04,0.88,1.5371422191458501,5494.0,0.197382,537.19682,512.51816,566.61015,0.7644089,0.0
HD 200964 b,4.191425871296591,606.3,HD 200964,0.014020760003518647,1.39,4.92,4982.0,1.5709227,389.17084,373.44909,407.48421,13.360839,0.0
HD 200964 c,4.191425871296591,852.5,HD 200964,0.014020760003518647,1.39,4.92,4982.0,2.017868,346.61447,312.06118,399.87787,13.360839,0.0
HD 202206 c,4.191425871296591,1260.0,HD 202206,0.34,1.27,1.03,5760.0,2.468322,165.46976,150.26912,187.9327,1.0462923,0.0
HD 202696 b,4.191425871296591,517.8,HD 202696,0.02,1.91,6.43,5040.0,1.5660947,450.14656,447.69437,452.6464,23.901917,0.0
HD 202696 c,4.191425871296591,946.6,HD 202696,0.02,1.91,6.43,5040.0,2.3429181,368.07671,363.0472,373.35891,23.901917,0.0
HD 202772 A b,17.31945,3.308958,HD 202772 A,0.3,1.72,2.59,6272.0,0.052117602,1949.388,1913.5457,1987.6961,9.3006301,0.0
HD 203030 b,4.191425871296591,2309.3421610400937,HD 203030,0.014020760003518647,1.0038376485013707,1.5371422191458501,5490.154056235356,487.1,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 203473 b,4.191425871296591,1552.9,HD 203473,0.19,1.12,1.33,5780.0,2.8440062,176.87649,156.62567,210.88933,1.7689,0.0
HD 2039 b,4.191425871296591,1120.0,HD 2039,0.3,1.23,1.19,5945.0,2.75451,185.70742,147.37812,357.87559,1.5848567,0.0
HD 204313 b,4.191425871296591,1920.1,HD 204313,0.16,1.03,1.1,5783.0,3.1512015,152.06906,137.57669,173.88097,1.2125141,0.0
HD 204313 c,4.191425871296591,34.905,HD 204313,0.16,1.03,1.1,5783.0,0.21242142,582.64502,542.96195,634.79286,1.2125141,0.0
HD 204941 b,4.191425871296591,1733.0,HD 204941,-0.19,0.58,0.78,5026.0,2.7245475,121.43859,104.67826,154.36417,0.3478306,0.0
HD 205739 b,4.191425871296591,279.8,HD 205739,0.19,1.22,1.33,6176.0,0.9286592,330.12453,294.30275,388.18142,2.305797,0.0
HD 206255 b,4.191425871296591,96.045,HD 206255,0.014020760003518647,1.42,1.5371422191458501,5635.0,0.47319345,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 206610 b,4.191425871296591,673.2,HD 206610,0.014020760003518647,1.55,6.12,4842.0,1.7487,400.00993,381.6336,421.91182,18.445508,0.0
HD 20781 b,4.191425871296591,5.3135,HD 20781,-0.11,0.7,1.5371422191458501,5256.0,0.0531645,956.96682,913.00406,1009.364,0.55848037,0.0
HD 20781 c,4.191425871296591,13.8905,HD 20781,-0.11,0.7,1.5371422191458501,5256.0,0.10080662,694.71983,665.75859,728.63384,0.55848037,0.0
HD 20781 d,4.191425871296591,29.158,HD 20781,-0.11,0.7,1.5371422191458501,5256.0,0.16569644,542.27626,515.0965,575.24796,0.55848037,0.0
HD 20781 e,4.191425871296591,85.5073,HD 20781,-0.11,0.7,1.5371422191458501,5256.0,0.33800732,379.0762,368.2743,391.07533,0.55848037,0.0
HD 20782 b,4.191425871296591,597.0643,HD 20782,-0.06,1.07,1.11,5790.0,1.9808111,211.78365,164.81222,1029.252,1.2406488,0.0
HD 207832 b,4.191425871296591,160.07,HD 207832,0.14,1.05,0.89,5726.0,0.59737104,310.27741,284.2939,347.10178,0.76291128,0.0
HD 207832 c,4.191425871296591,1155.7,HD 207832,0.14,1.05,0.89,5726.0,2.1889824,163.07902,145.38333,191.75868,0.76291128,0.0
HD 20794 b,4.191425871296591,18.315,HD 20794,-0.4,0.7,1.5371422191458501,5401.0,0.1207,710.16959,710.16959,710.16959,0.87959589,0.0
HD 20794 c,4.191425871296591,40.114,HD 20794,-0.4,0.7,1.5371422191458501,5401.0,0.2036,546.79788,546.79788,546.79788,0.87959589,0.0
HD 20794 d,4.191425871296591,90.309,HD 20794,-0.4,0.7,1.5371422191458501,5401.0,0.3499,417.10341,417.10341,417.10341,0.87959589,0.0
HD 20794 e,4.191425871296591,147.02,HD 20794,-0.4,0.7,1.5371422191458501,5401.0,0.53040345,343.97038,304.48224,410.41917,0.87959589,0.0
HD 208487 b,4.191425871296591,130.08,HD 208487,0.022,1.13,1.5371422191458501,6067.0,0.5390912,403.6054,363.77608,464.6631,1.7549424,0.0
HD 208527 b,4.191425871296591,875.5,HD 208527,-0.09,1.6,51.1,4035.0,2.10672,876.97534,844.20814,914.67645,620.16122,0.0
HD 20868 b,4.191425871296591,380.85001,HD 20868,0.05,0.39,0.76,4802.0,1.2171875,181.45703,143.10842,378.6293,0.27517214,0.0
HD 208897 b,4.191425871296591,352.7,HD 208897,0.21,1.25,4.98,4860.0,1.0525725,466.38029,451.00512,483.76215,12.396309,0.0
HD 209458 b,15.5819,3.5247486,HD 209458,0.01,1.23,1.19,6091.0,0.04855456,1329.1198,1329.1198,1329.1198,1.7463728,0.0
HD 210193 b,4.191425871296591,649.918,HD 210193,0.014020760003518647,1.04,1.5371422191458501,5790.0,1.5298256,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 210277 b,4.191425871296591,442.19,HD 210277,0.22,1.01,1.07,5538.0,1.260176,233.90571,195.25035,329.39805,0.96486823,0.0
HD 210702 b,4.191425871296591,354.1,HD 210702,0.014020760003518647,1.61,4.92,4951.0,1.14845,451.75222,445.57934,458.23523,13.031384,0.0
HD 211810 b,4.191425871296591,1558.0,HD 211810,0.17,1.03,1.13,5652.0,3.2700672,157.15031,125.36889,287.25621,1.1674926,0.0
HD 211970 b,4.191425871296591,25.201,HD 211970,0.014020760003518647,0.61,1.5371422191458501,4127.0,0.14460875,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 212301 b,4.191425871296591,2.24571,HD 212301,0.18,1.55,1.16,6239.0,0.03,1710.017,1710.017,1710.017,1.8266888,0.0
HD 212771 b,4.191425871296591,380.7,HD 212771,0.014020760003518647,1.56,5.27,5003.0,1.1934367,463.89785,447.3766,482.77349,15.589489,0.0
HD 213240 b,4.191425871296591,882.70001,HD 213240,0.15,1.57,1.51,5979.0,2.056698,232.84726,197.67831,309.30661,2.6106987,0.0
HD 21411 b,4.191425871296591,84.288,HD 21411,0.014020760003518647,0.89,1.5371422191458501,5605.0,0.39096,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 214823 b,4.191425871296591,1854.4,HD 214823,0.14,1.31,2.04,5933.0,3.27349,207.47654,192.62387,227.31499,4.6200468,0.0
HD 215152 b,4.191425871296591,5.75999,HD 215152,-0.1,0.77,0.73,4935.0,0.057638,774.1252,774.1252,774.1252,0.28319331,0.0
HD 215152 c,4.191425871296591,7.28243,HD 215152,-0.1,0.77,0.73,4935.0,0.067393,715.90973,715.90973,715.90973,0.28319331,0.0
HD 215152 d,4.191425871296591,10.86499,HD 215152,-0.1,0.77,0.73,4935.0,0.08799,626.54028,626.54028,626.54028,0.28319331,0.0
HD 215152 e,4.191425871296591,25.1967,HD 215152,-0.1,0.77,0.73,4935.0,0.15417,473.33184,473.33184,473.33184,0.28319331,0.0
HD 215497 b,4.191425871296591,3.93404,HD 215497,0.2,0.67,0.85,5110.0,0.05064,927.17726,862.25047,1013.2644,0.44137741,0.0
HD 215497 c,4.191425871296591,567.94,HD 215497,0.2,0.67,0.85,5110.0,1.4359041,180.47582,150.24855,256.81379,0.44137741,0.0
HD 216435 b,4.191425871296591,1311.0,HD 216435,0.244,1.3,1.5371422191458501,5999.0,2.566272,208.10311,201.24257,215.85905,2.9211055,0.0
HD 216437 b,4.191425871296591,1334.28,HD 216437,0.2,1.17,1.39,5909.0,2.6224605,193.07467,169.33093,235.13584,2.1104458,0.0
HD 216536 b,4.191425871296591,148.60001,HD 216536,-0.17,0.81,9.83,4639.0,0.654042,813.15416,698.737,1042.4553,40.095273,0.0
HD 216770 b,4.191425871296591,118.45,HD 216770,0.27,0.74,0.93,5399.0,0.491487,335.37673,289.08974,426.30721,0.65842734,0.0
HD 21693 b,4.191425871296591,22.6786,HD 21693,0.0,0.8,1.5371422191458501,5430.0,0.1465476,616.19118,582.77222,657.45573,0.72707255,0.0
HD 21693 c,4.191425871296591,53.7357,HD 21693,0.0,0.8,1.5371422191458501,5430.0,0.25923357,462.47889,447.23234,479.71535,0.72707255,0.0
HD 217107 b,4.191425871296591,7.12682,HD 217107,0.36,1.0,1.11,5622.0,0.080676,922.06934,868.33076,989.61161,1.1028031,0.0
HD 217107 c,4.191425871296591,4270.0,HD 217107,0.36,1.0,1.11,5622.0,6.0309887,111.1657,91.901118,162.8696,1.1028031,0.0
HD 21749 c,0.8968,7.78993,GJ 143,0.003,0.73,0.69,4640.0,0.0695,644.41731,644.41731,644.41731,0.19772371,0.0
HD 217786 b,4.191425871296591,1319.0,HD 217786,-0.135,1.02,1.27,5966.0,2.5704,190.09543,162.34902,247.99223,1.8307502,0.0
HD 217850 b,4.191425871296591,3501.3,HD 217850,0.26,1.03,1.21,5544.0,5.8842158,120.44494,94.827714,258.0794,1.239231,0.0
HD 218566 b,4.191425871296591,225.7,HD 218566,0.28,0.76,0.85,4730.0,0.72105,230.06965,202.95112,276.57576,0.32401944,0.0
HD 219077 b,4.191425871296591,5501.0,HD 219077,-0.13,1.05,1.91,5362.0,8.063919,125.16938,98.441617,273.08727,2.7018586,0.0
HD 219134 b,1.60303,3.092926,HD 219134,0.11,0.81,0.78,4699.0,0.03876,929.1331,929.1331,929.1331,0.26576613,0.0
HD 219134 c,1.51335,6.76458,HD 219134,0.11,0.81,0.78,4699.0,0.065425507,715.66335,694.62589,739.11465,0.26576613,0.0
HD 219134 d,1.61424,46.859,HD 219134,0.11,0.81,0.78,4699.0,0.23925671,375.29786,352.22852,404.70821,0.26576613,0.0
HD 219134 f,1.31157,22.717,HD 219134,0.11,0.81,0.78,4699.0,0.14790228,477.58383,446.3512,518.11702,0.26576613,0.0
HD 219134 g,4.191425871296591,94.2,HD 219134,0.11,0.81,0.78,4699.0,0.3753,298.59363,298.59363,298.59363,0.26576613,0.0
HD 219134 h,4.191425871296591,2247.0,HD 219134,0.11,0.81,0.78,4699.0,3.115598,103.70311,100.74806,106.98569,0.26576613,0.0
HD 219415 b,4.191425871296591,2093.3,HD 219415,-0.04,1.0,2.9,4820.0,3.456,200.14562,170.93229,261.10338,4.0669871,0.0
HD 219666 b,4.7082,6.03607,HD 219666,0.04,0.92,1.03,5527.0,0.06356,980.69329,980.69329,980.69329,0.88699456,0.0
HD 219828 b,4.191425871296591,3.83492,HD 219828,0.18,1.18,1.61,5807.0,0.050958595,1441.452,1374.6249,1521.241,2.6408741,0.0
HD 219828 c,4.191425871296591,4682.0,HD 219828,0.18,1.18,1.61,5807.0,7.6903476,128.17631,100.31809,309.8093,2.6408741,0.0
HD 220074 b,4.191425871296591,672.09998,HD 220074,-0.25,2.2,54.92,3787.0,1.61568,976.74869,915.9362,1054.553,555.81585,0.0
HD 220689 b,4.191425871296591,2266.4,HD 220689,-0.07,1.02,1.07,5921.0,3.4009514,146.46739,142.69208,150.61721,1.2607717,0.0
HD 220773 b,4.191425871296591,3724.7,HD 220773,0.09,1.16,1.5371422191458501,5940.0,5.582447,134.55201,111.43356,195.61693,2.0365366,0.0
HD 220842 b,4.191425871296591,218.47,HD 220842,-0.17,1.13,1.5371422191458501,5960.0,0.80038992,348.92275,297.63464,456.81873,2.0107215,0.0
HD 221287 b,4.191425871296591,456.1,HD 221287,-0.03,1.25,1.5371422191458501,6304.0,1.254,263.74345,253.88898,275.08177,1.7974767,0.0
HD 221416 b,9.37156,14.2767,HD 221416,-0.08,1.21,2.94,5080.0,0.12361201,1094.6998,1037.571,1164.6184,5.1574872,0.0
HD 221420 b,4.191425871296591,22482.0,HD 221420,0.29,1.67,1.5371422191458501,5830.0,20.1317,82.451159,69.997843,109.5254,3.9325942,0.0
HD 221585 b,4.191425871296591,1173.0,HD 221585,0.29,1.19,1.5371422191458501,5620.0,2.3234437,212.6905,200.89566,227.33203,2.5928696,0.0
HD 222076 b,4.191425871296591,871.0,HD 222076,0.05,1.07,4.1,4806.0,1.835856,316.95178,305.10923,330.57751,8.0351026,0.0
HD 222155 b,4.191425871296591,3999.0,HD 222155,-0.18,1.21,1.85,5701.0,5.205792,150.51256,139.97273,164.48745,3.2391888,0.0
HD 222582 b,4.191425871296591,572.38,HD 222582,0.01,1.12,1.13,5790.0,1.697043,225.24678,178.18019,451.02496,1.2857596,0.0
HD 224538 b,4.191425871296591,1189.1,HD 224538,0.27,1.34,1.54,6097.0,2.5254374,217.72662,182.539,301.67812,2.9362624,0.0
HD 224693 b,4.191425871296591,26.6904,HD 224693,0.27,1.31,1.93,5894.0,0.19203293,825.26749,785.96759,872.4392,4.0275764,0.0
HD 22781 b,4.191425871296591,528.07,HD 22781,-0.37,0.75,1.5371422191458501,5027.0,1.5584846,164.78175,128.84795,408.58885,0.29483922,0.0
HD 23079 b,4.191425871296591,730.59998,HD 23079,-0.13,1.12,1.07,5974.0,1.608,215.19988,205.31366,226.98279,1.306523,0.0
HD 23127 b,4.191425871296591,1211.17,HD 23127,0.29,1.21,1.49,5843.0,2.5653307,202.01607,172.21828,264.95901,2.3184873,0.0
HD 231701 b,4.191425871296591,141.63,HD 231701,0.05,1.21,1.53,6101.0,0.57179115,441.27716,415.55935,473.60105,2.9058662,0.0
HD 233604 b,4.191425871296591,192.0,HD 233604,-0.36,1.5,10.9,4791.0,0.74793375,806.54436,787.22983,827.6265,56.084949,0.0
HD 23472 b,4.191425871296591,17.667,HD 23472,0.014020760003518647,0.75,0.73,5490.154056235356,0.121,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 23472 c,4.191425871296591,29.625,HD 23472,0.014020760003518647,0.75,0.73,5490.154056235356,0.17,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 23596 b,4.191425871296591,1561.0,HD 23596,0.28,1.47,1.53,6040.0,2.8709665,196.94341,175.5731,231.57859,2.7913819,0.0
HD 238914 b,4.191425871296591,4100.0,HD 238914,-0.25,1.47,12.73,4769.0,6.59376,307.45307,251.51209,473.58161,75.10256,0.0
HD 240210 b,4.191425871296591,501.75,HD 240210,-0.18,0.82,1.5371422191458501,4297.0,1.17305,568.51563,530.89413,617.51481,33.5555,0.0
HD 240237 b,4.191425871296591,745.70001,HD 240237,-0.25,8.76,71.23,3926.0,2.0736,1043.0526,890.8082,1360.732,1079.98,0.0
HD 24040 b,4.191425871296591,3668.0,HD 24040,0.19,1.11,1.3,5802.0,4.923936,131.44391,128.90425,134.1678,1.7158774,0.0
HD 24064 b,4.191425871296591,535.59998,HD 24064,-0.49,1.61,40.0,4052.0,1.3690125,986.69295,855.96255,1233.5733,386.44383,0.0
HD 24085 b,4.191425871296591,2.0455,HD 24085,0.014020760003518647,1.22,1.5371422191458501,6034.0,0.0348228,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 25015 b,4.191425871296591,6019.32,HD 25015,0.04,0.86,0.83,5160.0,6.6607495,82.461793,70.640391,106.63397,0.43756607,0.0
HD 25171 b,4.191425871296591,1802.29,HD 25171,-0.12,1.08,1.23,6125.0,2.9736204,173.69066,170.17295,177.47682,1.9077578,0.0
HD 2638 b,4.191425871296591,3.4442,HD 2638,0.13,0.77,0.94,5186.0,0.04,1108.1116,1108.1116,1108.1116,0.5726304,0.0
HD 2685 b,16.1424,4.12688,HD 2685,0.02,1.43,1.56,6801.0,0.05703518,1570.1918,1504.0615,1647.7679,4.6647561,0.0
HD 26965 b,4.191425871296591,42.378,HD 26965,-0.42,0.78,0.87,5072.0,0.21910319,445.61704,437.00718,454.85149,0.44879099,0.0
HD 27442 b,4.191425871296591,428.1,HD 27442,0.42,1.23,1.5371422191458501,4846.0,1.2732878,291.17635,282.87919,300.39314,2.7588443,0.0
HD 27631 b,4.191425871296591,2198.14,HD 27631,-0.12,0.94,0.92,5737.0,3.2742271,134.53857,126.10912,145.34254,0.82149268,0.0
HD 27894 b,4.191425871296591,18.02,HD 27894,0.3,0.8,1.5371422191458501,5490.154056235356,0.12513806,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 27894 c,4.191425871296591,36.07,HD 27894,0.3,0.8,1.5371422191458501,5490.154056235356,0.19802227,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 27894 d,4.191425871296591,5174.0,HD 27894,0.3,0.8,1.5371422191458501,5490.154056235356,5.8601984,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 28185 b,4.191425871296591,379.0,HD 28185,0.23,1.02,1.03,5662.0,1.021275,250.74803,244.7433,257.3023,0.97688301,0.0
HD 28254 b,4.191425871296591,1116.0,HD 28254,0.06,1.06,1.48,5664.0,2.8553075,196.71242,153.96169,475.19859,2.0197846,0.0
HD 285507 b,4.191425871296591,6.0881,HD 285507,0.13,0.82,0.69,4503.0,0.060243,672.74054,644.69558,705.58159,0.17538588,0.0
HD 285968 b,4.191425871296591,8.7836,HD 285968,0.15,0.45,0.45,3679.0,0.066,423.42954,423.42954,423.42954,0.033237842,0.0
HD 28678 b,4.191425871296591,380.2,HD 28678,0.014020760003518647,1.53,6.48,4972.0,1.1930986,512.8478,479.10938,556.71114,22.991279,0.0
HD 29021 b,4.191425871296591,1362.3,HD 29021,-0.24,0.85,0.85,5560.0,2.5201763,147.55743,123.88144,203.4395,0.61862243,0.0
HD 290327 b,4.191425871296591,2443.0,HD 290327,-0.14,0.84,0.95,5505.0,3.440976,127.64832,122.87888,133.13591,0.74261745,0.0
HD 2952 b,4.191425871296591,311.60001,HD 2952,0.0,1.97,10.76,4844.0,1.2403935,630.83235,594.06719,677.0413,57.11231,0.0
HD 30177 b,4.191425871296591,2527.83,HD 30177,0.39,1.05,1.02,5607.0,3.7526039,129.47766,120.31206,141.67402,0.92132152,0.0
HD 30177 c,4.191425871296591,11613.0,HD 30177,0.39,1.05,1.02,5607.0,10.129338,79.125882,71.857094,89.867418,0.92132152,0.0
HD 30562 b,4.191425871296591,1157.0,HD 30562,0.2,1.12,1.61,5882.0,3.015792,205.83416,162.10289,438.97671,2.7799724,0.0
HD 30669 b,4.191425871296591,1684.0,HD 30669,0.13,0.92,0.91,5400.0,2.733578,138.15552,127.44253,152.87922,0.63087958,0.0
HD 30856 b,4.191425871296591,847.0,HD 30856,0.014020760003518647,1.17,4.4,4895.0,1.8534419,332.66655,323.03721,343.38194,9.9587489,0.0
HD 31253 b,4.191425871296591,466.0,HD 31253,0.17,1.7,1.75,6130.0,1.3167,316.59751,279.27986,380.5943,3.8744195,0.0
HD 31527 b,4.191425871296591,16.5535,HD 31527,-0.17,0.96,1.5371422191458501,5898.0,0.126027,720.80644,687.69281,760.27301,1.0101334,0.0
HD 31527 c,4.191425871296591,51.2053,HD 31527,-0.17,0.96,1.5371422191458501,5898.0,0.26651304,494.89215,485.33023,505.14772,1.0101334,0.0
HD 31527 d,4.191425871296591,271.6737,HD 31527,-0.17,0.96,1.5371422191458501,5898.0,0.83312224,282.78912,254.88241,325.56965,1.0101334,0.0
HD 3167 b,1.70392,0.959624,HD 3167,-0.02,0.94,0.87,5528.0,0.0186,1666.4345,1666.4345,1666.4345,0.63328513,0.0
HD 3167 c,2.85855,29.83832,HD 3167,-0.02,0.94,0.87,5528.0,0.1841,529.6852,529.6852,529.6852,0.63328513,0.0
HD 3167 d,4.191425871296591,8.509,HD 3167,-0.02,0.94,0.87,5528.0,0.082596536,809.19162,699.7266,1020.018,0.63328513,0.0
HD 32518 b,4.191425871296591,157.54,HD 32518,-0.15,1.13,10.22,4580.0,0.5900295,840.19341,836.02893,844.43144,41.176777,0.0
HD 32963 b,4.191425871296591,2372.0,HD 32963,0.11,0.94,1.5371422191458501,5727.0,3.4183545,136.66767,132.16215,141.76124,0.96410654,0.0
HD 330075 b,4.191425871296591,3.38773,HD 330075,0.05,0.47,0.84,5000.0,0.04,1009.9427,1009.9427,1009.9427,0.39511838,0.0
HD 33142 b,4.191425871296591,326.0,HD 33142,0.014020760003518647,1.41,4.45,4978.0,1.0723305,447.34407,433.39259,463.00602,10.895025,0.0
HD 33142 c,4.191425871296591,834.0,HD 33142,0.014020760003518647,1.41,4.45,4978.0,1.9464169,331.92302,323.97437,340.5991,10.895025,0.0
HD 33283 b,4.191425871296591,18.1991,HD 33283,0.35,1.38,1.97,5935.0,0.16280376,935.73303,799.39491,1219.6438,4.3142369,0.0
HD 33564 b,4.191425871296591,388.0,HD 33564,-0.12,1.25,1.5371422191458501,6250.0,1.16358,354.51838,308.55018,439.64914,4.6743209,0.0
HD 33844 b,4.191425871296591,551.40002,HD 33844,0.27,1.84,5.39,4861.0,1.618,392.70158,366.71457,426.54772,14.533448,0.0
HD 33844 c,4.191425871296591,916.0,HD 33844,0.27,1.84,5.39,4861.0,2.258928,332.01082,312.66109,356.33086,14.533448,0.0
HD 34445 b,4.191425871296591,1049.0,HD 34445,0.18,1.14,1.38,5879.0,2.1454515,210.5991,187.74702,247.63582,2.0382651,0.0
HD 34445 c,4.191425871296591,214.67,HD 34445,0.18,1.14,1.38,5879.0,0.71856533,359.19676,352.92932,365.87193,2.0382651,0.0
HD 34445 d,4.191425871296591,117.87,HD 34445,0.18,1.14,1.38,5879.0,0.48187558,438.58314,432.79928,444.64696,2.0382651,0.0
HD 34445 e,4.191425871296591,49.175,HD 34445,0.18,1.14,1.38,5879.0,0.26978824,586.95648,562.48765,615.60983,2.0382651,0.0
HD 34445 f,4.191425871296591,676.8,HD 34445,0.18,1.14,1.38,5879.0,1.5437414,245.04792,241.35026,248.95177,2.0382651,0.0
HD 34445 g,4.191425871296591,5700.0,HD 34445,0.18,1.14,1.38,5879.0,6.3632563,120.69901,118.82058,122.68567,2.0382651,0.0
HD 35759 b,4.191425871296591,82.467,HD 35759,0.04,1.15,1.5371422191458501,6060.0,0.41843193,491.87485,421.49088,635.5046,2.187141,0.0
HD 3651 b,4.191425871296591,62.25,HD 3651,0.014020760003518647,0.8,1.5371422191458501,5221.0,0.35636369,386.13234,310.0982,667.52575,0.51688414,0.0
HD 37124 b,4.191425871296591,154.378,HD 37124,-0.44,0.85,1.5371422191458501,5490.154056235356,0.53441805,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 37124 c,4.191425871296591,885.5,HD 37124,-0.44,0.85,1.5371422191458501,5490.154056235356,1.7233594,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 37124 d,4.191425871296591,1862.0,HD 37124,-0.44,0.85,1.5371422191458501,5490.154056235356,2.8429296,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 37605 b,4.191425871296591,55.01292,HD 37605,0.27,0.94,0.91,5329.0,0.34001061,411.99249,329.00389,746.2221,0.59834865,0.0
HD 37605 c,4.191425871296591,2720.0,HD 37605,0.27,0.94,0.91,5329.0,3.741683,115.85726,114.16397,117.64184,0.59834865,0.0
HD 38283 b,4.191425871296591,363.20001,HD 38283,-0.18,1.37,1.49,5981.0,1.105731,315.13779,268.33317,414.81831,2.5454021,0.0
HD 38529 b,4.191425871296591,14.30944,HD 38529,0.014020760003518647,1.41,2.56,5541.0,0.13447248,1080.8964,960.18094,1280.2413,5.5350453,0.0
HD 38529 c,4.191425871296591,2136.1,HD 38529,0.014020760003518647,1.41,2.56,5541.0,3.8512592,203.29246,176.89221,252.25105,5.5350453,0.0
HD 38801 b,4.191425871296591,685.25,HD 38801,0.25,1.21,2.03,5338.0,1.6232345,263.13374,260.92995,265.40411,2.9977472,0.0
HD 39091 b,4.191425871296591,2093.07,HD 39091,0.08,1.09,1.1,6037.0,3.7289419,154.01791,123.88805,263.08763,1.4399875,0.0
HD 39855 b,4.191425871296591,3.2498,HD 39855,0.014020760003518647,0.87,1.5371422191458501,5576.0,0.0414018,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 40307 b,4.191425871296591,4.3123,HD 40307,-0.31,0.77,1.5371422191458501,4956.0,0.047736,925.76462,847.24195,1037.6552,0.3857486,0.0
HD 40307 c,4.191425871296591,9.6184,HD 40307,-0.31,0.77,1.5371422191458501,4956.0,0.08004382,710.14949,689.91355,732.62829,0.3857486,0.0
HD 40307 d,4.191425871296591,20.432,HD 40307,-0.31,0.77,1.5371422191458501,4956.0,0.13242365,552.25088,534.04481,572.83312,0.3857486,0.0
HD 40307 f,4.191425871296591,51.76,HD 40307,-0.31,0.77,1.5371422191458501,4956.0,0.2470494,403.98167,400.01146,408.09332,0.3857486,0.0
HD 40307 g,4.191425871296591,197.8,HD 40307,-0.31,0.77,1.5371422191458501,4956.0,0.62523,257.81584,228.21833,307.62116,0.3857486,2.0
HD 40956 b,4.191425871296591,578.6,HD 40956,0.14,2.0,8.56,4869.0,1.44032,528.73943,476.56141,608.72749,36.897358,0.0
HD 40979 b,4.191425871296591,264.14999,HD 40979,0.2,1.45,1.21,6165.0,0.8765625,322.92965,289.98689,374.37147,1.8949236,0.0
HD 41004 A b,4.191425871296591,963.0,HD 41004 A,-0.09,0.7,1.5371422191458501,5010.0,2.1580477,150.41482,118.80227,307.33547,0.41090118,0.0
HD 41004 B b,4.191425871296591,1.3283,HD 41004 B,0.014020760003518647,0.4,1.5371422191458501,5490.154056235356,0.017477636,804.1932016099973,793.683031961247,824.9372727000268,5.7862772399051465,0.0
HD 4113 b,4.191425871296591,526.62,HD 4113,0.2,0.99,1.5371422191458501,5688.0,1.8018618,210.48251,163.68581,725.01093,1.0110252,0.0
HD 42012 b,4.191425871296591,857.5,HD 42012,-0.09,0.83,0.82,5405.0,1.7034,166.51907,152.39504,186.64505,0.51416102,0.0
